RWrist_X,RWrist_Y,frame_number,frame_peaks,pid,sample_id
235.689,146.878,209,1,P10_A,2
235.669,148.061,210,0,P10_A,2
235.629,148.065,211,0,P10_A,2
235.645,146.872,212,0,P10_A,2
234.403,146.844,213,0,P10_A,2
234.421,144.371,214,0,P10_A,2
234.352,143.081,215,0,P10_A,2
234.327,136.845,216,0,P10_A,2
234.319,135.546,217,0,P10_A,2
234.317,131.825,218,0,P10_A,2
234.344,125.606,219,0,P10_A,2
233.146,116.848,220,0,P10_A,2
234.338,109.328,221,0,P10_A,2
235.607,103.06,222,0,P10_A,2
236.922,95.5048,223,0,P10_A,2
240.65,84.329,224,0,P10_A,2
239.359,76.772,225,0,P10_A,2
238.141,74.3151,226,0,P10_A,2
238.124,71.7755,227,0,P10_A,2
235.67,65.5833,228,0,P10_A,2
234.399,65.5561,229,0,P10_A,2
234.355,65.5159,230,0,P10_A,2
234.302,64.304,231,0,P10_A,2
233.117,64.3013,232,0,P10_A,2
233.144,64.3039,233,0,P10_A,2
234.318,64.3186,234,0,P10_A,2
234.351,64.3347,235,0,P10_A,2
234.354,65.5233,236,0,P10_A,2
234.37,65.5671,237,0,P10_A,2
234.396,66.8276,238,0,P10_A,2
234.375,66.8057,239,0,P10_A,2
234.373,70.5336,240,0,P10_A,2
234.425,74.2336,241,0,P10_A,2
234.397,75.5359,242,0,P10_A,2
234.383,78.0296,243,0,P10_A,2
234.415,84.3422,244,0,P10_A,2
235.587,89.2852,245,0,P10_A,2
235.599,95.4986,246,0,P10_A,2
234.413,98.0624,247,0,P10_A,2
235.571,105.501,248,0,P10_A,2
235.645,109.313,249,0,P10_A,2
234.41,114.341,250,0,P10_A,2
234.395,116.823,251,0,P10_A,2
234.396,124.25,252,0,P10_A,2
234.409,125.606,253,0,P10_A,2
235.574,129.334,254,0,P10_A,2
234.436,131.818,255,0,P10_A,2
234.428,134.336,256,0,P10_A,2
235.673,140.588,257,0,P10_A,2
235.61,141.84,258,0,P10_A,2
235.621,143.093,259,0,P10_A,2
235.621,144.341,260,0,P10_A,2
235.609,145.544,261,0,P10_A,2
235.613,145.608,262,0,P10_A,2
235.617,146.809,263,0,P10_A,2
235.634,146.838,264,0,P10_A,2
235.626,148.07,265,0,P10_A,2
235.621,148.065,266,0,P10_A,2
235.615,146.879,267,0,P10_A,2
235.625,146.877,268,0,P10_A,2
235.618,148.059,269,1,P10_A,3
235.625,148.087,270,0,P10_A,3
235.639,148.105,271,0,P10_A,3
235.643,149.315,272,0,P10_A,3
235.627,149.351,273,0,P10_A,3
235.598,148.097,274,0,P10_A,3
235.616,148.069,275,0,P10_A,3
235.646,145.629,276,0,P10_A,3
235.643,145.548,277,0,P10_A,3
235.701,144.281,278,0,P10_A,3
235.698,138.104,279,0,P10_A,3
236.927,134.32,280,0,P10_A,3
238.134,128.098,281,0,P10_A,3
239.371,123.078,282,0,P10_A,3
238.157,115.596,283,0,P10_A,3
