Nose_X,Nose_Y,Nose_prob,Neck_X,Neck_Y,Neck_prob,RShoulder_X,RShoulder_Y,RShoulder_prob,RElbow_X,RElbow_Y,RElbow_prob,RWrist_X,RWrist_Y,RWrist_prob,LShoulder_X,LShoulder_Y,LShoulder_prob,LElbow_X,LElbow_Y,LElbow_prob,LWrist_X,LWrist_Y,LWrist_prob,MidHip_X,MidHip_Y,MidHip_prob,RHip_X,RHip_Y,RHip_prob,RKnee_X,RKnee_Y,RKnee_prob,RAnkle_X,RAnkle_Y,RAnkle_prob,LHip_X,LHip_Y,LHip_prob,LKnee_X,LKnee_Y,LKnee_prob,LAnkle_X,LAnkle_Y,LAnkle_prob,REye_X,REye_Y,REye_prob,LEye_X,LEye_Y,LEye_prob,REar_X,REar_Y,REar_prob,LEar_X,LEar_Y,LEar_prob,LBigToe_X,LBigToe_Y,LBigToe_prob,LSmallToe_X,LSmallToe_Y,LSmallToe_prob,LHeel_X,LHeel_Y,LHeel_prob,RBigToe_X,RBigToe_Y,RBigToe_prob,RSmallToe_X,RSmallToe_Y,RSmallToe_prob,RHeel_X,RHeel_Y,RHeel_prob
0,0,0,175.539,120.543,0.888862,200.615,121.828,0.797606,234.35,164.291,0.903684,223.08,126.863,0.790244,150.569,119.297,0.778518,118.056,160.581,0.798646,125.624,126.804,0.795012,175.607,211.859,0.700012,194.336,210.626,0.662724,196.897,284.382,0.809476,204.408,353.173,0.827262,158.082,213.084,0.630762,156.84,284.359,0.789776,161.83,354.399,0.808158,0,0,0,0,0,0,186.88,94.3071,0.867331,164.362,94.2436,0.885929,149.348,353.182,0.581628,146.864,354.463,0.745243,164.329,363.153,0.813033,203.124,355.698,0.546037,210.614,356.928,0.579663,204.399,360.713,0.808021
0,0,0,174.393,120.544,0.889492,200.604,121.816,0.794884,234.351,164.294,0.907052,223.084,126.856,0.797032,149.342,119.312,0.776631,118.067,160.566,0.793837,125.624,126.807,0.795698,175.604,213.085,0.692857,194.347,211.856,0.661708,199.351,284.369,0.798928,205.607,353.184,0.826613,158.069,213.115,0.631804,156.85,283.146,0.773746,161.829,354.403,0.807912,0,0,0,0,0,0,186.864,94.3103,0.871761,164.352,94.247,0.885375,149.359,353.189,0.572829,146.872,354.467,0.730694,164.323,363.157,0.81738,204.346,355.721,0.587266,211.85,356.948,0.609798,205.595,360.7,0.822825
0,0,0,174.402,119.34,0.88922,200.614,121.814,0.797305,234.356,164.301,0.908785,223.088,126.862,0.795256,149.347,119.305,0.779115,119.306,159.337,0.798167,125.618,126.822,0.79497,175.622,213.088,0.694229,194.369,211.862,0.672045,200.602,284.373,0.798126,205.604,353.196,0.830221,158.085,213.121,0.633866,156.839,284.357,0.790229,161.83,354.403,0.808425,0,0,0,0,0,0,186.867,94.2891,0.863602,164.35,93.0708,0.879466,150.573,353.193,0.576678,148.063,354.471,0.73221,164.323,363.158,0.82033,204.313,355.689,0.586582,211.835,355.73,0.597255,205.606,360.715,0.828184
0,0,0,175.558,119.333,0.890579,201.827,121.825,0.801798,234.36,164.29,0.905293,223.093,126.86,0.795088,151.801,118.083,0.783862,119.31,159.355,0.788962,125.624,126.846,0.75728,175.643,213.094,0.691221,194.383,211.872,0.676735,200.59,283.164,0.781787,205.605,353.21,0.830231,159.316,213.13,0.629865,156.838,284.355,0.792174,161.829,354.402,0.809341,0,0,0,0,0,0,186.889,94.299,0.856462,164.358,94.2407,0.888109,150.577,353.19,0.567738,148.069,354.469,0.723865,164.318,363.163,0.82235,204.316,355.677,0.582481,211.839,355.723,0.590637,205.603,361.935,0.83371
0,0,0,175.589,120.539,0.884991,201.845,121.799,0.802557,234.365,164.288,0.910533,223.102,128.061,0.788731,151.841,119.315,0.784107,121.799,159.359,0.798301,128.053,126.858,0.740161,175.649,213.084,0.679569,194.386,211.865,0.669124,201.826,284.404,0.816027,205.594,353.215,0.836169,159.326,213.113,0.621181,158.067,284.395,0.793975,161.824,354.39,0.795388,0,0,0,0,0,0,186.882,94.2877,0.862668,164.37,94.2376,0.88703,151.829,353.187,0.547015,148.101,354.463,0.698089,164.298,363.156,0.805385,204.35,355.709,0.565902,211.861,356.933,0.592015,205.587,361.937,0.830933
0,0,0,175.59,120.571,0.886822,201.864,121.81,0.808304,234.368,164.288,0.907539,223.128,128.062,0.793287,151.827,120.555,0.779423,120.58,160.593,0.794498,126.839,128.073,0.74184,175.663,211.845,0.668158,194.398,210.614,0.667192,201.827,284.385,0.809791,205.6,354.387,0.839036,159.348,211.878,0.614959,158.1,284.435,0.774086,161.826,354.385,0.794333,0,0,0,0,0,0,186.891,94.2928,0.853395,164.377,94.2486,0.888696,151.85,353.19,0.543952,149.325,354.463,0.689135,164.291,361.962,0.801188,204.331,355.674,0.565465,211.857,355.718,0.582253,205.599,361.939,0.8279
0,0,0,175.6,121.803,0.887711,203.063,121.829,0.811223,234.379,164.29,0.911794,223.122,128.05,0.800225,151.826,121.798,0.784771,121.798,161.833,0.807528,126.84,130.574,0.728591,175.665,213.087,0.67811,194.402,211.868,0.67781,201.878,284.367,0.797502,205.608,354.394,0.846949,159.344,213.128,0.623118,159.334,284.377,0.755228,161.827,353.211,0.793727,0,0,0,0,0,0,188.129,94.2544,0.829047,164.385,93.0547,0.891863,151.853,353.184,0.532341,149.329,354.456,0.683135,164.292,361.956,0.800934,204.351,354.467,0.582246,211.863,355.693,0.589944,205.613,361.943,0.825511
0,0,0,175.632,121.797,0.880836,203.089,123.016,0.826311,235.568,164.329,0.924374,223.124,126.863,0.802767,153.064,120.56,0.793057,123.022,160.593,0.818706,126.799,129.32,0.771981,176.851,213.098,0.666981,195.558,213.085,0.685838,203.064,283.154,0.774329,205.602,354.405,0.841941,160.593,214.326,0.62034,159.337,284.399,0.760813,161.836,354.389,0.79996,0,0,0,0,0,0,189.336,94.2867,0.830606,165.55,93.0554,0.896268,149.341,353.206,0.558571,146.862,354.476,0.716687,164.324,363.157,0.814429,203.113,354.427,0.569065,211.834,355.655,0.560985,205.611,361.965,0.833993
0,0,0,175.633,121.806,0.881868,203.091,123.012,0.820586,235.569,164.334,0.924093,224.336,128.065,0.82147,153.053,120.579,0.787238,123.018,161.842,0.822102,126.841,129.326,0.760741,176.88,213.132,0.660556,195.577,213.117,0.694417,203.077,284.394,0.783499,205.599,354.406,0.840848,161.812,214.357,0.625015,159.358,284.383,0.747358,161.842,354.401,0.803543,0,0,0,0,0,0,190.579,94.2848,0.824542,165.556,93.0647,0.896478,149.335,354.388,0.560694,146.862,354.486,0.715793,164.33,363.166,0.817436,203.113,354.442,0.563066,211.834,355.67,0.561346,205.607,361.968,0.832508
0,0,0,176.846,121.804,0.860624,204.291,123.043,0.841705,235.575,164.346,0.924502,224.312,126.866,0.819192,154.278,120.552,0.802924,123.035,161.827,0.827953,128.052,129.331,0.749673,178.09,213.119,0.642348,195.595,213.096,0.681788,203.116,285.627,0.785234,205.599,354.41,0.839303,161.856,214.344,0.624451,160.582,284.35,0.744153,161.836,354.404,0.802712,0,0,0,0,0,0,190.594,94.3115,0.820187,165.581,94.2436,0.912907,149.333,354.391,0.558232,146.856,354.487,0.714223,164.327,363.172,0.81943,203.12,354.445,0.560918,211.836,355.679,0.559786,205.596,363.162,0.832749
0,0,0,176.837,121.811,0.865741,204.302,123.048,0.845742,235.597,164.343,0.923522,224.327,128.056,0.818368,153.096,120.571,0.80046,123.047,161.838,0.834711,128.072,130.571,0.753399,178.079,213.11,0.64127,195.591,213.09,0.679639,203.116,284.43,0.768979,205.597,354.392,0.83401,161.843,214.335,0.619092,160.584,284.385,0.738416,161.832,354.409,0.801811,0,0,0,0,0,0,190.598,94.3104,0.8126,165.587,94.2463,0.906564,148.118,354.386,0.564749,146.844,354.486,0.720342,164.327,363.176,0.817979,203.109,354.447,0.56125,210.628,355.676,0.561938,205.596,361.961,0.831
0,0,0,176.863,121.822,0.85793,204.335,123.048,0.84981,235.623,164.343,0.911561,224.344,126.849,0.831876,154.275,120.57,0.805894,123.038,161.826,0.826325,129.299,130.58,0.755387,178.115,213.115,0.635874,195.602,213.092,0.679825,203.133,284.42,0.77571,205.605,354.426,0.844538,163.06,214.343,0.629526,161.808,284.415,0.749122,161.857,354.402,0.804796,0,0,0,0,0,0,191.828,94.2911,0.819813,165.612,94.2428,0.901377,149.356,353.205,0.552412,148.064,354.479,0.705797,164.339,363.168,0.815958,204.352,354.452,0.567382,211.862,355.695,0.576158,205.599,363.175,0.82624
0,0,0,176.87,121.82,0.85232,204.322,123.033,0.844356,235.641,164.326,0.904377,224.382,128.073,0.826019,154.296,120.577,0.808041,123.042,160.577,0.812329,129.322,130.551,0.754253,179.338,214.327,0.637748,195.622,213.107,0.683981,204.306,284.439,0.804442,205.607,354.42,0.843756,163.079,214.355,0.637624,160.61,285.616,0.757524,161.856,354.407,0.805399,0,0,0,0,0,0,190.624,94.2727,0.828389,165.617,93.0722,0.893216,149.348,353.21,0.561121,146.871,354.482,0.710223,164.344,363.174,0.820605,204.359,354.452,0.573565,211.865,355.697,0.582164,205.592,363.171,0.824201
